GWP_CH4,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120
2000,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6,33.9,30.9,28.5,0,0
2010,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6,33.9,30.9,28.5,0
2020,0,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6,33.9,30.9,28.5
2030,0,0,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6,33.9,30.9
2040,0,0,0,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6,33.9
2050,0,0,0,0,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3,37.6
2060,0,0,0,0,0,0,119.6,104.2,83.9,68.1,56.7,48.4,42.3
2070,0,0,0,0,0,0,0,119.6,104.2,83.9,68.1,56.7,48.4
2080,0,0,0,0,0,0,0,0,119.6,104.2,83.9,68.1,56.7
2090,0,0,0,0,0,0,0,0,0,119.6,104.2,83.9,68.1
2100,0,0,0,0,0,0,0,0,0,0,119.6,104.2,83.9
2110,0,0,0,0,0,0,0,0,0,0,0,119.6,104.2
2120,0,0,0,0,0,0,0,0,0,0,0,0,119.6
